"filename", "language", "TypeScript", "TypeScript JSX", "XML", "JSON", "CSS", "JavaScript", "JSON with Comments", "Markdown", "HTML", "comment", "blank", "total"
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 11, 51
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 2, 29
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 1, 14
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/package-lock.json", "JSON", 0, 0, 0, 4829, 0, 0, 0, 0, 0, 0, 1, 4830
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/package.json", "JSON", 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 1, 49
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/public/vite.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/.eslintrc.json", "JSON", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/.prettierrc", "JSON", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/nodemon.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/package-lock.json", "JSON", 0, 0, 0, 4528, 0, 0, 0, 0, 0, 0, 1, 4529
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/package.json", "JSON", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 1, 58
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/config/cloudinary.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 18
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/config/database.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/config/instances.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/config/redis.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 19
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/controllers/Rating.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 10, 12, 115
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/controllers/auth.ts", "TypeScript", 287, 0, 0, 0, 0, 0, 0, 0, 0, 52, 58, 397
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/controllers/category.ts", "TypeScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 41, 35, 192
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/controllers/chat.ts", "TypeScript", 167, 0, 0, 0, 0, 0, 0, 0, 0, 43, 32, 242
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/controllers/connection.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 11, 13, 90
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/controllers/course.ts", "TypeScript", 676, 0, 0, 0, 0, 0, 0, 0, 0, 158, 111, 945
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/controllers/extra.ts", "TypeScript", 127, 0, 0, 0, 0, 0, 0, 0, 0, 24, 28, 179
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/controllers/middlewares.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 18, 30, 133
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/controllers/notifications.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 21, 25, 112
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/controllers/payments.ts", "TypeScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 16, 18, 172
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/controllers/profile.ts", "TypeScript", 244, 0, 0, 0, 0, 0, 0, 0, 0, 54, 36, 334
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/helper/EroorResponse.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/helper/UploadMedia.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 24
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/helper/constants.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/helper/sendSMS.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 50
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/index.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 35, 22, 111
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/Category.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 29
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/Chat.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 22
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/Connection.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 24
"/Users/prafullprince/Desktop/StudyForge/IdeaForge/server/src/models/Course.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 86
